Citizen ID,First Name,Middle Name,Last Name,Suffix,Date of Birth,Age,Sex,Civil Status,Email,Contact No,Place of Birth,Full Address,Sitio,Religion,Blood Type,Government Worker,Student,Registered Voter,Part of Indigenous Group,Deceased,Date of Death,Reason of Death,Educational Attainment,School Name,Socio Economic Status,NHTS Number,Employment Status,Occupation,Household ID,Relationship,Philhealth Category,Philhealth ID,Membership Type,Health Classification,Family Planning Method,FP Status,FP Date Started,FP Date Ended,Date Encoded,Encoded By,Date Updated,Updated By
C001,Roberto,Noquil,Gonzales,,14/03/1987,38,Male,Married,roberto.g@gmail.com,9171234567,Cavite City,"Blk 3 Lot 12, Maligaya", Sitio Maligaya,Catholic,O+,No,No,Yes,No,No,N/A,N/A,College Graduate,Maligaya National High School,Middle Income,N/A,Employed,Carpenter,H001,Head,,N/A,N/A,Healthy,None,N/A,N/A,N/A,08/06/2025,Encoder 1,08/06/2025,Encoder 1
C002,Maria,Lopez,Santos,,15/03/1987,32,Female,Married,maria.santos@gmail.com,9187654321,Taguig City,"Purok 2 Riverside, Bagong Bukal",Sitio Bagong Bukal,Catholic,A+,No,No,Yes,No,No,N/A,N/A,College Graduate,University of Cebu,Middle Income,N/A,Employed,Sales Associate,H002,Wife,,N/A,N/A,Healthy,Pills,Active,05/01/2024,N/A,12/04/2025,Encoder 2,12/04/2025,Encoder 2
C003,Juan,Cruz,Dela Cruz,,16/03/1987,40,Male,Married,juan.dc@gmail.com,9181239876,Parañaque,"Purok 1 Zone 3, Makahiya",Sitio Makahiya,Catholic,O-,No,No,Yes,No,No,N/A,N/A,High School Graduate,Makahiya High School,Low Income,N/A,Employed,Driver,H003,Husband,,N/A,N/A,Healthy,None,N/A,N/A,N/A,05/06/2025,Encoder 1,05/06/2025,Encoder 1
C004,Ana,Torres,Villanueva,,17/03/1987,51,Female,Widowed,ana.v@gmail.com,9182345712,Cebu City,"Sitio Proper, Talipapa",Sitio Talipapa,Christian,B+,No,No,Yes,No,No,N/A,N/A,High School Graduate,Talipapa High School,Middle Income,N/A,Unemployed,None,H004,Head,,N/A,N/A,Healthy,None,N/A,N/A,N/A,02/06/2025,Encoder 2,02/06/2025,Encoder 2
C005,Jose,Josafat,Ramirez ,Jr.,18/03/1987,22,Male,Single,jose.rj@gmail.com,9184532167,Cavite,Zone 1 Purok 1,Sitio  San Roque Heights,Catholic,O+,No,Yes,Yes,No,No,N/A,N/A,College Level,CTU,Low Income,NHTS-5582193,Student,Student,H005,Son,,0112-9988-220,SSS,Healthy,None,N/A,N/A,N/A,10/03/2025,Encoder 1,10/03/2025,Encoder 1
C006,Micah,Reyes,Fernandez,,19/03/1987,18,Female,Single,micah.f@gmail.com,9183451276,Toledo City,Purok 2 Hillside,Sitio Kawayanon,Catholic,A+,No,Yes,No,No,No,N/A,N/A,Senior High School,Kawayaon NHS,Low Income,N/A,Student,Student,H006,Daughter,,N/A,N/A,Healthy,None,N/A,N/A,N/A,07/06/2025,Encoder 2,07/06/2025,Encoder 2
C007,Crisanto,Lorenzo,Lopez,,20/03/1987,40,Male,Married,cris.lopez@gmail.com,9174321678,Cebu,Blk 4 Lot 7,Sitio Tinikaran,Christian,O+,No,No,Yes,No,No,N/A,N/A,College Graduate,USC,Middle Income,N/A,Employed,Technician,H007,Head,,N/A,N/A,Healthy,None,N/A,N/A,N/A,01/02/2025,Encoder 1,01/02/2025,Encoder 1
C008,Jenny,Ann,Loucor,,21/03/1987,33,Female,Single,jenny.l@gmail.com,9172314567,Carcar,Purok 4 Near Chapel,Sitio Ilang-ilang,Catholic,B-,No,No,Yes,No,No,N/A,N/A,College Graduate,UC-Main,Middle Income,N/A,Employed,Nurse,H008,Head,,N/A,N/A,Healthy,Pills,Active,11/02/2024,N/A,05/03/2025,Encoder 2,05/03/2025,Encoder 2
C009,Bobby,Reyes,Aguilar,,22/03/1987,26,Male,Single,bobby.a@gmail.com,9178451239,Marigondon,Sitio Sto. Niño,Sitio Sto. Niño,Catholic,O+,No,No,Yes,No,No,N/A,N/A,High School Graduate,MNHS,Low Income,N/A,Employed,Vendor,H009,Head,,N/A,N/A,Healthy,None,N/A,N/A,N/A,22/01/2025,Encoder 1,22/01/2025,Encoder 1
C010,Lucy,Valdez,Mendoza,,23/03/1987,30,Female,Married,lucy.m@gmail.com,9173234519,Lapu-Lapu,Purok 5 Riverside,Sitio Pag-asa Creek,Catholic,A-,No,No,Yes,No,No,N/A,N/A,College Graduate,USC-TC,Middle Income,N/A,Employed,Teacher,H010,Wife,,N/A,N/A,Healthy,Pills,Active,10/07/2024,N/A,10/06/2025,Encoder 2,10/06/2025,Encoder 2
